breed,color,countries,playfulness,activityLevel,friendliness,groomingLevel,vocality,traits,disorders,care,nutrition,behavior,training,grooming,image
Abyssinian Cat,Red,Egypt,high,high,Good overall,moderate,moderate,Short Hair,Early periodontal disease,Loves attention,high protein,Active,Yes,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Abyssinian_body_7.jpg
American Bobtail,Brown,USA,moderate,moderate,Good overall,moderate,low,Highly Intelligent,Hip dysplasia,Therapy Cat,Quality Adult Cat Food,Dog-like,Yes,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/AmericanBobtail_body_6.jpg
American Curl,Black,USA,high,moderate,Good Overall,low,moderate,Inquisitive Expression,Generally Healthy,Soulmate,Quality Adult Cat Food,Kitten-like,Unknown,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/AmericanCurlSHA_body_6.jpg
American Shorthair,Grey,USA,moderate,moderate,Good with kids,moderate,moderate,Independent,Ocular and Respiratory issues,Independent,Quality Adult Cat Food,Hunter-like traits,Good Rodent Hunter,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/AmericanShorthair_body_6.jpg
American Wirehair,Orange Tabby,USA,moderate,low,Good overall,low,moderate,Wirey Hair,Generally Healthy,Low maintenance,Quality Adult Cat Food,Independent,Unknown,Discouraged,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/AmericanWirehair_body_6.jpg
Balinese-Javanese,White,USA,moderate,moderate,Good with people,moderate,high,Intelligent,Lysosomal storage disease,Loves attention,Quality Adult Cat Food,Talkative,Not well,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Javanese_body_6.jpg
Bengal,Orange,Asia,High,high,Average,low,low,Playful,Distal Neuropathy,Needs activity,High Protein,Very Playful,Not well,Doesn't shed and self groomer,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Bengal_body_6.jpg
Birman,White,Burma,moderate,moderate,Good overall,moderate,low,Gentle,Generally Healthy,Loves attention,Quality Adult Cat Food,Very Playful,Can Learn,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Birman_body_6.jpg
Bombay,Black,Burma,moderate,moderate,Good overall,low,moderate,Very Smart,Craniofacial Defect,Loves attention,Weight management,Very Playful,Quick learner,Goom semi-weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Bombay_body_6.jpg
British shorthair,Orange,UK,low,low,Average,moderate,low,Easygoing,Gingivitis,Independent,Weight management,Are Not Lap Cats,Not well,Seasonal,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/BritishShorthair_body_6.jpg
Burmese,Sable,USA,high,high,Good overall,low,high,Thrives on Companionship,Gingivitis,Loves attention,high protein,Very Playful,Can Learn,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Burmese_body_6.jpg
